Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
universal-crossplane,True,create::deployments::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::secrets::::whole; update::deployments::apps::whole; update::secrets::::whole; watch::secrets::::whole,3,2,3,0
weave-gitops,N/A,get::secrets::::specific; list::secrets::::specific,0,0,0,0
apl-core,True,*::daemonsets::apps::whole; *::deployments::apps::whole; *::pods::::whole; *::replicasets::apps::whole; *::secrets::::whole; *::statefulsets::apps::whole; create::cronjobs::batch::whole; create::daemonsets::apps::whole; create::daemonsets::policy::whole; create::deployments::apps::whole; create::deployments::policy::whole; create::jobs::batch::whole; create::pods::::whole; create::pods::core::whole; create::replicasets::apps::whole; create::replicasets::policy::whole; create::statefulsets::apps::whole; create::statefulsets::policy::whole; get::*::*::whole; get::secrets::*::whole; get::secrets::::specific; get::secrets::::whole; get::secrets::core::whole; list::secrets::*::whole; list::secrets::::specific; list::secrets::::whole; list::secrets::core::whole; patch::cronjobs::batch::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; patch::pods::core::whole; patch::replicasets::apps::whole; patch::secrets::::specific; patch::secrets::::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::cronjobs::batch::whole; update::daemonsets::apps::whole; update::daemonsets::policy::whole; update::deployments::apps::whole; update::deployments::policy::whole; update::jobs::batch::whole; update::pods::*::whole; update::pods::::whole; update::pods::core::whole; update::replicasets::apps::whole; update::replicasets::policy::whole; update::secrets::*::whole; update::secrets::::specific; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; update::statefulsets::policy::whole; watch::secrets::*::whole; watch::secrets::::specific; watch::secrets::::whole; watch::secrets::core::whole,100,22,112,1
neuvector-helm,True,create::jobs::batch::whole; get::secrets::core::whole; list::secrets::core::whole; patch::cronjobs::batch::whole; update::cronjobs::batch::whole; update::nodes::::whole; update::pods::::whole; update::secrets::core::whole; watch::secrets::core::whole,6,1,5,1
aws-otel-helm-charts,N/A,,0,0,0,0
cost-analyzer-helm-chart,N/A,,0,0,0,0
istio-distro.io,N/A,,0,0,0,0
eks-pod-identity-agent,N/A,,0,0,0,0
KubeArmor,True,create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; patch::nodes::::whole; patch::pods::::whole; patch::secrets::::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::::whole,13,4,20,2
helm,N/A,,0,0,0,0
nri-kubernetes,N/A,,0,0,0,0
trident,True,create::daemonsets::apps::whole; create::deployments::apps::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::daemonsets::apps::specific; patch::deployments::apps::specific; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::specific; update::daemonsets::apps::specific; update::deployments::apps::specific; update::nodes::::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::specific; watch::secrets::::whole,3,2,6,1
kpow-helm-charts,N/A,,0,0,0,0
