Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
spec,N/A,,0,0,0,0
kyverno,True,get::secrets::core::whole; list::secrets::core::whole; patch::deployments::apps::whole; patch::pods::::whole; patch::secrets::core::whole; update::deployments::apps::whole; update::pods::::whole; update::secrets::core::whole; watch::secrets::core::whole,12,3,4,0
pack,N/A,,0,0,0,0
cortex,N/A,,0,0,0,0
dapr,True,get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole,6,1,0,0
cni,N/A,,0,0,0,0
community,N/A,,0,0,0,0
longhorn,True,*::cronjobs::batch::whole; *::daemonsets::apps::whole; *::deployments::apps::whole; *::jobs::batch::whole; *::nodes::::whole; *::pods::::whole; *::secrets::::whole; *::statefulsets::apps::whole,3,0,18,3
chaos-mesh,True,create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::pods::::whole; patch::secrets::::whole; update::pods::::whole; update::secrets::::whole; watch::secrets::::whole; watch::secrets::core::whole,6,2,3,0
karmada,True,create::deployments::apps::whole; create::statefulsets::apps::whole; get::*::*::whole; get::secrets::::whole; list::*::*::whole; update::deployments::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::*::*::whole,5,2,8,0
cloud-custodian,N/A,,0,0,0,0
kubeedge,True,create::deployments::apps::whole; create::pods::::whole; get::secrets::::whole; get::serviceaccounts/token::::whole; list::secrets::::whole; list::serviceaccounts/token::::whole; patch::deployments::apps::whole; patch::nodes::::whole; patch::secrets::::whole; update::deployments::apps::whole; update::nodes::::whole; update::pods::::whole; update::secrets::::whole; update::serviceaccounts/token::::whole; watch::secrets::::whole; watch::serviceaccounts/token::::whole,9,3,5,3
backstage,N/A,,0,0,0,0
cert-manager,True,create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::secrets::::whole; update::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,15,4,1,0
lifecycle-toolkit,True,*::secrets::::whole; *::statefulsets::apps::whole; create::deployments::::whole; create::jobs::batch::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::::whole; update::deployments::::whole; update::jobs::batch::whole; update::pods::::whole; watch::secrets::::whole,5,0,7,0
Dragonfly2,N/A,,0,0,0,0
kubevela,True,get::secrets::core::whole,2,0,0,0
strimzi-kafka-operator,True,get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::pods::::whole; patch::secrets::::whole; patch::secrets::core::whole; update::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,6,4,1,0
nats-server,N/A,,0,0,0,0
