Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
open-match,N/A,,0,0,0,0
hypertrace,N/A,,0,0,0,0
bucketeer,N/A,,0,0,0,0
stack,N/A,,0,0,0,0
direktiv,True,create::daemonsets::apps::whole; create::daemonsets::policy::whole; create::deployments::apps::whole; create::deployments::policy::whole; create::jobs::batch::whole; create::replicasets::apps::whole; create::replicasets::policy::whole; create::statefulsets::apps::whole; create::statefulsets::policy::whole; get::secrets::*::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::*::whole; list::secrets::::whole; list::secrets::core::whole; patch::secrets::core::whole; update::daemonsets::apps::whole; update::daemonsets::policy::whole; update::deployments::apps::whole; update::deployments::policy::whole; update::jobs::batch::whole; update::pods::*::whole; update::replicasets::apps::whole; update::replicasets::policy::whole; update::secrets::*::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; update::statefulsets::policy::whole; watch::secrets::*::whole; watch::secrets::::whole; watch::secrets::core::whole,19,4,24,0
agones,True,get::secrets::::whole; list::secrets::::whole; watch::secrets::::whole,3,0,0,0
constellation,True,create::deployments::apps::whole; create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::nodes::::whole; patch::secrets::::whole; patch::secrets::core::whole; update::deployments::apps::whole; update::nodes::::whole; update::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,22,6,5,6
ejbca-ce,N/A,,0,0,0,0
FROST-Server,N/A,,0,0,0,0
k8ssandra,True,*::secrets::::whole; *::statefulsets::apps::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::pods::core::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::pods::core::whole; patch::replicasets::apps::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::pods::core::whole; update::replicasets::apps::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,11,2,22,0
kubelabs,N/A,,0,0,0,0
rustus,N/A,,0,0,0,0
oncall,True,create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::secrets::::whole; update::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,21,4,1,0
onechart,N/A,,0,0,0,0
